id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,related_To,is_Joined,kerning,damaged,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,commentary
,,52,frg_1b_ROI.tif:00001-06947-02399:1,0.013,81.859,43,190,1.931,5.642,0.087,0.152,0.728,1.745,0.573,1,43,,,,,1,ר,,,,,,11,,,
,,53,frg_1b_ROI.tif:00001-06949-02304:1,0.011,79.921,41,166,1.855,5.655,0.083,0.129,0.748,1.554,0.643,1,44,,,,,1,כ,,,,,,11,,,
,,54,frg_1b_ROI.tif:00001-06952-01833:1,0.011,88.04,46,247,1.473,5.649,0.072,0.147,0.691,2.057,0.486,1,48,,,,,1,ו,,,,,,11,,,
,,55,frg_1b_ROI.tif:00001-06961-01500:1,0.006,92.996,42,168,1.199,5.687,0.071,0.084,0.78,1.186,0.843,1,51,,,,,1,ו,,,,,,11,,,
,,56,frg_1b_ROI.tif:00001-06967-01428:1,0.004,95.48,57,242,1.154,5.689,0.043,0.091,0.685,2.115,0.473,1,52,,,,,1,ו,,,,,,11,,,
,,57,frg_1b_ROI.tif:00001-06987-01113:1,0.0009321,91.81,42,148,0.899,5.737,0.035,0.026,0.769,1.344,0.744,1,137,,,,,,,,,,,,null,,,
,,58,frg_1b_ROI.tif:00001-07006-01573:1,0.004,89.384,51,163,1.249,5.746,0.091,0.042,0.68,2.157,0.464,1,50,,,,,1,צ,,,,,,11,,,
,,59,frg_1b_ROI.tif:00001-07015-01338:1,0.013,102.428,55,255,1.053,5.706,0.097,0.135,0.765,1.39,0.72,1,53,,,,,1,ת,,,,,,11,,,
,,60,frg_1b_ROI.tif:00001-07029-01077:1,0.009,83.71,42,178,0.843,5.732,0.088,0.108,0.777,1.224,0.817,1,58,,,,,1,א,,,,,,11,,,
,,61,frg_1b_ROI.tif:00001-07237-01157:1,0.035,103.919,36,255,0.876,5.841,0.154,0.23,0.754,1.497,0.668,1,71,,,,,1,ל,,,,,,12,,,
,,62,frg_1b_ROI.tif:00001-07237-01471:1,0.028,83.676,43,146,1.152,5.836,0.118,0.24,0.693,2.042,0.49,1,68,,,,,,ל,,,,,,12,,,
,,63,frg_1b_ROI.tif:00001-07319-01901:1,0.007,73.287,9,132,1.533,5.97,0.064,0.109,0.733,1.692,0.591,1,64,,,,,,ו,,,,,,12,,,
,,64,frg_1b_ROI.tif:00001-07321-01811:1,0.009,73.523,52,134,1.45,5.972,0.081,0.107,0.771,1.313,0.762,1,65,,,,,,ג,,,,,,12,,,
,,65,frg_1b_ROI.tif:00001-07328-01598:1,0.008,90.389,42,160,1.279,5.977,0.072,0.109,0.753,1.511,0.662,1,67,,,,,1,ו,,,,,,12,,,
,,66,frg_1b_ROI.tif:00001-07335-01972:1,0.002,76.055,59,101,1.597,6.016,0.053,0.044,0.777,1.226,0.815,1,63,,,,,,,,,,,,12,,,
,,67,frg_1b_ROI.tif:00001-07336-02160:1,0.007,66.758,4,152,1.747,5.979,0.062,0.118,0.709,1.907,0.524,1,61,,,,,1,נ,,,,,,12,,,
,,68,frg_1b_ROI.tif:00001-07340-01711:1,0.013,75.83,49,140,1.356,5.977,0.104,0.128,0.777,1.238,0.808,1,66,,,,,,ד,,,,,,12,,,
,,69,frg_1b_ROI.tif:00001-07345-02260:1,0.014,67.714,47,142,1.806,5.981,0.109,0.129,0.78,1.18,0.847,1,60,,,,,1,ט,,,,,,12,,,
,,70,frg_1b_ROI.tif:00001-07352-02076:1,0.015,70.159,46,141,1.65,5.989,0.118,0.124,0.785,1.056,0.947,1,62,,,,,,ה,,,,,,12,,,
,,71,frg_1b_ROI.tif:00001-07362-01279:1,0.002,105.023,65,180,1.03,6.038,0.046,0.044,0.785,1.057,0.946,1,70,,,,,1,,,,,,,12,,,
,,72,frg_1b_ROI.tif:00001-07377-01397:1,0.021,90.594,48,227,1.076,6.001,0.149,0.142,0.785,1.046,0.956,1,69,,,,,1,ה,,,,,,12,,,
