 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
85,85,att.naming,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.naming.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.naming.html</a>,,TEI infrastructure,,,,
86,86,att.patternReplacement,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.patternReplacement.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.patternReplacement.html</a>,,header,,,,
87,87,att.personal,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.personal.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.personal.html</a>,,TEI infrastructure,,,,
88,88,att.placement,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.placement.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.placement.html</a>,,TEI infrastructure,,,,
89,89,att.pointing.group,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.pointing.group.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.pointing.group.html</a>,,TEI infrastructure,,,,
90,90,att.pointing,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.pointing.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.pointing.html</a>,,TEI infrastructure,,,,
91,91,att.ranging,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.ranging.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.ranging.html</a>,,TEI infrastructure,,,,
92,92,att.rdgPart,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.rdgPart.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.rdgPart.html</a>,,textcrit,,,,
93,93,att.readFrom,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.readFrom.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.readFrom.html</a>,,TEI infrastructure,,,,
94,94,att.resourced,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.resourced.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.resourced.html</a>,,TEI infrastructure,,,,
95,95,att.segLike,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.segLike.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.segLike.html</a>,,TEI infrastructure,,,,
96,96,att.sortable,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.sortable.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.sortable.html</a>,,TEI infrastructure,,,,
97,97,att.source,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.source.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.source.html</a>,,TEI infrastructure,,,,
98,98,att.spanning,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.spanning.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.spanning.html</a>,,TEI infrastructure,,,,
99,99,att.styleDef,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.styleDef.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.styleDef.html</a>,,TEI infrastructure,,,,
100,100,att.tableDecoration,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.tableDecoration.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.tableDecoration.html</a>,,TEI infrastructure,,,,
101,101,att.textCritical,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.textCritical.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.textCritical.html</a>,,textcrit,,,,
102,102,att.timed,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.timed.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.timed.html</a>,,TEI infrastructure,,,,
